Games,Accuracy_Passes,Key_Passes,Total_Passes,Shots_Total,Dribbles_Attempts,Dribbles_Success,Tackled_Intercept,Goals_Total,Yellow_Cards,Weight_kg,Height_cm,Rating,Position
26,76,35,672,21,58,35,11,2,5,71,176,6.676923,Midfielder
7,64,1,24,1,1,1,2,0,1,90,189,6.633333,Midfielder
7,56,0,114,3,1,0,8,0,1,69,165,6.414285,Midfielder
3,76,1,29,0,4,0,0,0,1,83,185,6.333333,Attacker
12,83,0,333,2,1,1,33,0,1,83,193,6.9,Defender
2,54,0,24,1,0,0,3,0,1,77,185,6.75,Defender
12,75,7,337,4,7,3,18,0,7,74,187,6.808333,Midfielder
17,72,3,234,5,3,1,15,0,6,76,182,6.5,Midfielder
35,78,27,536,117,34,19,10,13,3,68,169,7.014285,Attacker
19,71,6,307,8,8,5,32,0,8,78,183,6.672222,Midfielder
5,57,1,78,1,8,5,5,0,0,76,182,6.6,Midfielder
22,75,8,526,13,5,2,59,0,10,74,175,6.861904,Defender
19,72,17,508,16,7,1,9,2,2,65,180,6.858823,Midfielder
